Encuestador;Fecha;Muestra;PP;PSOE;PODEMOS*;C's;IU;ERC-CATSI;DL;EAJ-PNV;UP
Invymark;13/5/16;1200;29.6;20.1;;15.1;;;;;24.2
El Espanol;13/5/16;1000;30.8;19.7;;14.7;;;;;23.7
NC;12/5/16;1500;30.2;21.0;;14.7;;2.2;1.5;1.1;24.9
SimpleLogica;10/5/16;1035;29.9;21.5;14.2;17.7;7.9;;;;
NC;7/5/16;2000;30.2;20.8;;15.0;;2.1;1.5;1.2;24.7
Celeste-Tel;5/5/16;1100;29.2;22.4;;15.5;;2.4;1.5;1.2;24.2
NC;30/4/16;2000;30.1;20.7;;15.3;;2.0;1.5;1.3;24.5
GAD3;29/4/16;800;29.7;23.2;;14.0;;2.2;1.8;1.3;20.9
Invymark;29/4/16;1200;28.7;19.4;20.7;15.4;4.8;;;;
Metroscopia;28/4/16;1200;29.0;20.3;18.1;16.9;6.6;;;;
NC;23/4/16;2000;30.2;20.9;;15.5;;2.3;1.6;1.2;24.1
SigmaDos;22/4/16;800;29.8;22.9;;15.2;;2.6;1.9;1.1;21.5
El Espanol;22/4/16;1000;27.3;20.2;18.7;17.0;5.8;;;;
NC;16/4/16;2400;29.8;20.7;20.9;15.4;4.5;2.2;1.5;1.2;
Invymark;15/4/16;1200;28.6;20.4;19.2;15.8;5.4;;;;
NC;14/4/16;955;30.7;21.2;21.9;14.5;4.9;;;;
TNS;14/4/16;1000;29.4;22.3;17.5;15.8;6.0;;;;
SimpleLogica;12/4/16;1047;28.3;20.6;16.9;17.7;6.9;;;;
CIS;10/4/16;2490;27.4;21.6;17.7;15.6;5.4;2.5;1.9;1.0;
IMOP;10/4/16;1037;28.8;22.2;15.6;16.6;7.5;2.2;1.7;1.1;
Advice Strategic;10/4/16;2500;29.1;21.7;17.4;16.0;5.5;2.3;2.0;1.3;
NC;9/4/16;2300;29.6;21.0;20.4;15.5;4.4;;;;
GAD3;6/4/16;800;29.2;23.3;15.5;14.4;6.7;;;;
DYM;6/4/16;1036;29.2;20.7;19.6;15.2;5.9;;;;
Metroscopia;6/4/16;1203;29.0;20.1;17.0;17.7;6.7;;;;
Celeste-Tel;5/4/16;1100;29.1;22.2;19.4;15.9;4.5;;;;
NC;2/4/16;1800;29.4;21.8;19.2;15.5;4.6;;;;
Invymark;1/4/16;1200;28.6;21.6;19.9;15.2;4.1;;;;
SigmaDos;31/3/16;800;30.2;22.0;16.7;16.2;4.5;;;;
Metroscopia;30/3/16;1200;27.7;21.0;15.9;18.8;6.9;;;;
El Espanol;30/3/16;1002;27.5;19.3;17.3;16.9;7.3;;;;
NC;27/3/16;900;29.4;22.0;19.4;15.3;4.6;;;;
NC;17/3/16;1000;29.3;22.1;19.5;15.1;4.4;;;;
MyWord;14/3/16;1004;27.0;20.9;15.9;18.0;7.1;;;;
NC;11/3/16;2300;29.3;22.0;19.8;15.1;4.4;;;;
GAD3;10/3/16;800;28.2;24.2;18.7;14.1;3.2;;;;
Sondaxe;9/3/16;1002;28.6;22.0;19.1;15.6;4.2;;;;
Metroscopia;9/3/16;1200;26.0;23.1;16.8;19.5;5.4;;;;
SimpleLogica;9/3/16;1206;26.2;21.6;18.3;17.1;7.9;;;;
GESOP;8/3/16;1000;26.4;21.9;18.1;17.8;5.9;;;;
Celeste-Tel;5/3/16;1100;28.3;22.4;19.4;15.6;4.6;;;;
NC;4/3/16;1400;29.2;21.8;20.2;14.9;4.2;;;;
DYM;23/2/16;1071;25.6;22.1;19.8;17.6;5.4;;;;
Invymark;22/2/16;1200;26.8;20.3;22.1;15.8;4.5;;;;
NC;18/2/16;1400;28.9;21.4;21.1;14.2;3.4;;;;
SigmaDos;18/2/16;1000;27.8;23.1;18.8;15.3;4.0;;;;
GIPEyOP;16/2/16;1960;27.1;22.3;22.3;14.9;3.2;;;;
GAD3;11/2/16;800;27.9;20.8;21.4;14.9;3.3;;;;
SimpleLogica;5/2/16;1048;26.9;21.7;20.3;18.9;5.1;;;;
Celeste-Tel;5/2/16;1100;28.3;22.2;20.2;15.0;3.6;;;;
Metroscopia;4/2/16;1000;24.0;23.3;19.9;18.5;4.3;;;;
NC;21/1/16;1900;30.7;21.1;21.9;12.0;3.4;;;;
GAD3;21/1/16;802;30.1;21.3;20.0;13.4;2.9;;;;
MyWord;19/1/16;1000;28.0;21.3;20.3;14.4;4.7;;;;
Celeste-Tel;15/1/16;1100;29.9;21.7;21.9;12.5;3.3;;;;
Metroscopia;4/1/16;1200;29.0;21.1;22.5;16.6;3.2;;;;
SimpleLogica;12/1/16;1050;30.0;20.4;21.3;14.7;4.8;;;;
IMOP;11/1/16;1000;31.4;23.5;19.5;11.8;3.4;;;;
CIS;11/1/16;2496;28.8;20.5;21.9;13.3;3.7;;;;
Elecciones;20/12/15;25349824;29.1;22.3;20.7;14.1;3.7;2.4;2.3;1.2;
